center_id,meal_id,center_meal,total_obs,non_zero_obs,ADI,CV2,cor_baseprice,cor_checkoutprice,cor_email,cor_homepage,SBC
10,1062,10_1062,145.0,145.0,1.0,0.07514502810739682,0.10520419908302125,-0.40097250491484415,0.29048336513983436,0.21538938762168508,Smooth
10,1109,10_1109,145.0,145.0,1.0,0.1717556536293768,0.028418677673126568,-0.42452580422804453,0.7974198762803645,0.7265886698949884,Smooth
10,1198,10_1198,145.0,145.0,1.0,0.1671053172957832,0.2918072542937532,0.2566215006807126,,0.18733041759512561,Smooth
10,1207,10_1207,145.0,144.0,1.0069444444444444,0.6708629435496161,-0.0059014584358317735,-0.5941530178213215,0.3888542717405554,0.5377462276568588,Erratic
10,1216,10_1216,145.0,143.0,1.013986013986014,0.16199316623067625,0.03109217340589065,-0.312120666430707,0.10041632674259536,0.06614081902810119,Smooth
10,1230,10_1230,145.0,145.0,1.0,1.0784645740614938,0.027809841633299696,-0.5342030470300306,0.46056399016892835,0.6404104571560437,Erratic
10,1247,10_1247,145.0,122.0,1.1885245901639345,0.3078718978835338,-0.08954760933766448,-0.3801436139538655,,,Smooth
10,1248,10_1248,145.0,145.0,1.0,0.4226648935894697,0.03666450228087503,-0.5579354764846581,0.4397393286597442,0.6592008703452218,Smooth
10,1311,10_1311,145.0,145.0,1.0,0.1498177624558309,0.039252528716601384,0.13448574032561486,,0.2734321573622986,Smooth
10,1438,10_1438,145.0,143.0,1.013986013986014,0.25048490451083605,-0.31402649158380685,-0.39842178250893484,,,Smooth
10,1445,10_1445,145.0,145.0,1.0,1.2195455313743953,-0.06594918245250063,-0.8169742502564199,0.7298104058943545,0.6729224455717167,Erratic
10,1525,10_1525,145.0,137.0,1.0583941605839415,0.10136321852467958,-0.022720396681831383,-0.6377902546298676,,0.3128718657181193,Smooth
10,1543,10_1543,145.0,145.0,1.0,0.21661912255410723,-0.049105679320014355,-0.4541502566732649,0.47258572693216494,0.16233596412907694,Smooth
10,1558,10_1558,145.0,144.0,1.0069444444444444,0.6096689221669137,0.023461163749984325,-0.7621824908021075,0.6991360896498331,0.7343340934182785,Erratic
10,1571,10_1571,145.0,82.0,1.7682926829268293,0.24240790451325742,-0.23803991071332037,-0.48066783704368693,0.002168350960879032,0.1638784334228701,Intermittent
10,1727,10_1727,145.0,145.0,1.0,0.4579035009564755,0.0003248774492860017,-0.8937807900337303,0.8492122246108912,0.7047848358979083,Smooth
